board_date,logged_at,market,game_pk,matchup,selection,team,opp_sp,best_price,best_book,fair_prob,model_prob,n_books,edge_pct,parlay,closing_price,clv_pct,result,selection_id
2026-09-05,2026-09-05T12:32:17.312343+00:00,HR,823419,ATL @ PHI,Kyle Schwarber,PHI,Martín Pérez,3.75,betparx,0.2372,0.2174,6,-11.04,Parlay 1,,,WIN,656941
2026-09-05,2026-09-05T12:32:17.312343+00:00,HR,824145,ARI @ HOU,Yordan Alvarez,HOU,Brandon Pfaadt,3.85,betparx,0.2372,0.1955,6,-8.67,Parlay 1,,,LOSS,670541
2026-09-05,2026-09-05T12:32:17.312343+00:00,HR,824310,STL @ COL,Hunter Goodman,COL,Matthew Liberatore,4.25,hardrockbet,0.2235,0.2785,6,-5.01,Parlay 1,,,LOSS,696100
2026-09-05,2026-09-05T12:32:17.312343+00:00,HR,823577,SF @ NYM,Juan Soto,NYM,Anthony Molina,4.25,ballybet,0.2222,0.1889,6,-5.56,Parlay 2,,,LOSS,665742
2026-09-05,2026-09-05T12:32:17.312343+00:00,HR,823094,ATH @ SEA,Cal Raleigh,SEA,Jeffrey Springs,4.25,hardrockbet,0.2168,0.2074,6,-7.85,Parlay 2,,,LOSS,663728
2026-09-05,2026-09-05T12:32:17.312343+00:00,HR,823823,CHC @ MIA,Pete Crow-Armstrong,CHC,Ryan Gusto,4.50,hardrockbet,0.2083,0.1817,6,-6.25,Parlay 2,,,LOSS,691718
2026-09-05,2026-09-05T12:32:17.312343+00:00,HR,823419,ATL @ PHI,Matt Olson,ATL,Zack Wheeler,5.10,betparx,0.1976,0.2345,6,0.80,Parlay 3,,,LOSS,621566
2026-09-05,2026-09-05T12:32:17.312343+00:00,HR,824468,MIL @ CIN,Jackson Chourio,MIL,Andrew Abbott,4.50,hardrockbet,0.1976,0.1804,6,-11.06,Parlay 3,,,LOSS,694192
2026-09-05,2026-09-05T12:32:17.312343+00:00,HR,824553,MIN @ CWS,Munetaka Murakami,CWS,Taj Bradley,4.50,hardrockbet,0.1924,0.2207,6,-13.41,Parlay 3,,,WIN,808959
2026-09-05,2026-09-05T12:32:17.312343+00:00,HR,822850,TB @ TEX,Junior Caminero,TB,Jacob deGrom,4.60,ballybet,0.1894,0.2080,6,-12.85,Parlay 3,,,WIN,691406
2026-09-05,2026-09-05T12:32:17.312343+00:00,HR,824310,STL @ COL,Alec Burleson,STL,Mason Adams,4.75,hardrockbet,0.1885,0.1551,6,-10.45,Parlay 4,,,LOSS,676475
2026-09-05,2026-09-05T12:32:17.312343+00:00,HR,823577,SF @ NYM,Francisco Lindor,NYM,Anthony Molina,4.75,hardrockbet,0.1874,0.1519,6,-10.99,Parlay 4,,,LOSS,596019
2026-09-05,2026-09-05T12:32:17.312343+00:00,HR,824553,MIN @ CWS,Royce Lewis,MIN,Anthony Kay,4.60,betrivers,0.1874,0.1389,6,-13.80,Parlay 4,,,LOSS,668904
2026-09-05,2026-09-05T12:32:17.312343+00:00,HR,824145,ARI @ HOU,Ketel Marte,ARI,Ethan Pecko,6.10,betparx,0.1829,0.1620,6,11.55,Parlay 4,,,WIN,606466
2026-09-05,2026-09-05T12:32:17.312343+00:00,ML,823094,ATH @ SEA,Seattle Mariners,SEA,Jeffrey Springs / George Kirby,1.43,betonlineag,0.6916,,15,-1.10,,1.464,-2.30,LOSS,
2026-09-05,2026-09-05T12:32:17.312343+00:00,ML,823904,WSH @ LAD,Los Angeles Dodgers,LAD,Cade Cavalli / Tyler Glasnow,1.46,betonlineag,0.6754,,15,-1.39,,1.578,-7.46,WIN,
2026-09-05,2026-09-05T12:32:17.312343+00:00,ML,823335,LAA @ PIT,Pittsburgh Pirates,PIT,Yusei Kikuchi / Braxton Ashcraft,1.56,mybookieag,0.6286,,15,-1.94,,4.445,-64.90,LOSS,
2026-09-05,2026-09-05T12:32:17.312343+00:00,ML,823577,SF @ NYM,New York Mets,NYM,Anthony Molina / Zac Thornton,1.56,lowvig,0.6282,,15,-2.00,,1.739,-10.27,LOSS,
2026-09-05,2026-09-05T12:32:17.312343+00:00,ML,824468,MIL @ CIN,Milwaukee Brewers,MIL,Dustin May / Andrew Abbott,1.64,betonlineag,0.5974,,15,-2.02,,1.527,7.39,LOSS,
2026-09-05,2026-09-05T12:32:17.312343+00:00,ML,823419,ATL @ PHI,Philadelphia Phillies,PHI,Martín Pérez / Zack Wheeler,1.65,lowvig,0.5947,,15,-1.88,,1.046,57.69,WIN,
